"repo","file","key_path","canonical_key_path","classification","notes"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.vm_processors","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.warmup_seconds","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.write_ratio","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","winrm","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","winrm.authentication","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","winrm.operation_timeout_seconds","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","winrm.port","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","winrm.use_ssl","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables/variables.yml","metadata","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables/variables.yml","metadata.description","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables/variables.yml","metadata.last_modified","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables/variables.yml","metadata.version","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables/variables.yml","variables","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables/variables.yml","variables.category","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables/variables.yml","variables.description","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables/variables.yml","variables.required","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables/variables.yml","variables.sensitive","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables/variables.yml","variables.solutions","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables/variables.yml","variables.type","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables/variables.yml","variables.value","","orphaned_candidate","Requires manual review"
"azurelocal-sofs-fslogix","config/variables.example.yml","ansible_controller","","orphaned_candidate","Requires manual review"
"azurelocal-sofs-fslogix","config/variables.example.yml","ansible_controller.admin_username","","orphaned_candidate","Requires manual review"
"azurelocal-sofs-fslogix","config/variables.example.yml","ansible_controller.existing_controller_ip","","orphaned_candidate","Requires manual review"
"azurelocal-sofs-fslogix","config/variables.example.yml","ansible_controller.existing_controller_user","","orphaned_candidate","Requires manual review"
"azurelocal-sofs-fslogix","config/variables.example.yml","ansible_controller.hub_rg","","orphaned_candidate","Requires manual review"
"azurelocal-sofs-fslogix","config/variables.example.yml","ansible_controller.hub_subnet_id","","orphaned_candidate","Requires manual review"
"azurelocal-sofs-fslogix","config/variables.example.yml","ansible_controller.name","","orphaned_candidate","Requires manual review"
"azurelocal-sofs-fslogix","config/variables.example.yml","ansible_controller.private_ip","","orphaned_candidate","Requires manual review"
